31.46	166	188
31.52	172	194
31.60	167	193
31.48	170	194
31.64	171	195
31.48	168	192

Data Set #17
31.30	168	192
31.52	171	189
31.60	169	188
31.48	171	188
31.60	167	193
31.48	168	192
31.48	166	193
31.60	172	198
31.46	166	198
31.60	172	196
31.52	171	202
31.46	166	198
31.60	167	200
31.46	166	199
31.58	166	193
31.48	169	193
31.58	167	193
31.48	175	192
31.46	172	196
31.58	169	193

Data Set #18
37.54	134	167
37.64	135	166
37.72	131	168
37.82	135	165
37.66	152	171
37.66	143	176
37.64	144	176
37.66	133	176
37.64	136	172
37.64	135	172
37.66	140	171
37.64	139	176
37.64	144	168
37.76	141	166
37.64	138	168
37.64	143	170
37.64	142	166
37.64	139	160
37.64	142	168
37.64	140	168

Data Set #19
37.52	129	169
37.70	130	167
37.60	142	166
37.64	140	161
37.66	140	172
37.78	139	171
37.66	140	171
37.66	134	176
37.64	130	175
37.66	140	171
37.64	140	168
37.60	139	168
37.60	144	162
37.64	138	167
37.66	139	166
37.70	140	171
37.76	139	170
37.60	138	160
37.76	138	167
37.66	139	166

Data Set #20
37.54	144	168
37.66	144	168
37.66	138	166
37.76	139	175
37.82	129	176
37.66	138	176
37.70	133	170
37.64	140	172
37.66	140	168
37.66	138	168
37.66	135	166
37.60	134	163
37.64	133	162
37.60	138	162
37.66	139	162
37.66	139	161
37.64	142	168
37.60	134	170
37.64	138	171
37.64	139	170

Data Set #21

Data Set #22
42.28	129	152
42.46	126	152
42.46	120	153
42.50	128	145
42.50	128	144
42.50	126	152
42.50	128	158
42.38	120	152
42.52	117	148
42.50	118	152
42.52	116	147
42.50	123	149
42.52	116	148
42.50	121	144
42.50	123	152
42.50	117	153
42.50	124	153
42.52	125	161
42.50	121	157
42.50	128	153

Data Set #23
42.16	124	152
42.50	128	152
42.50	118	158
42.50	118	156
42.46	120	157
42.50	128	147
42.52	125	148
42.38	116	148
42.50	118	150
42.52	126	148
42.52	128	144
42.52	126	146
42.50	112	149
42.50	125	153
42.46	127	148
42.50	116	148
42.50	121	143
42.50	124	144
42.50	128	144
42.38	128	152

Data Set #24
42.16	116	156
42.46	116	158
42.50	116	156
